actor,repo,type,repo_url,repo_created_at,actor,created_at,repo,repo_created_at,repo_url,timestamp,type
jradavenport,FlareTests_AstroHackWeek,PushEvent,https://github.com/jradavenport/FlareTests_AstroHackWeek,2014-09-16 21:24:53,12,12,12,12,12,12,12
kbarbary,nestle,PushEvent,https://github.com/kbarbary/nestle,2013-07-18 19:28:48,11,11,11,11,11,11,11
jradavenport,cubehelix,PushEvent,https://github.com/jradavenport/cubehelix,2014-04-15 20:14:25,8,8,8,8,8,8,8
adrn,macro-cell,PushEvent,https://github.com/adrn/macro-cell,2014-09-18 21:44:34,8,8,8,8,8,8,8
jakevdp,AstroData,GollumEvent,https://github.com/uwescience/AstroData,2014-01-22 21:46:14,8,8,8,8,8,8,8
adrn,tilt-shift,PushEvent,https://github.com/adrn/tilt-shift,2014-09-15 21:55:05,8,8,8,8,8,8,8
fperez,day1,PushEvent,https://github.com/AstroHackWeek/day1,2014-08-14 06:02:33,8,8,8,8,8,8,8
rhiannonlynne,sims_maf_contrib,PushEvent,https://github.com/LSST-nonproject/sims_maf_contrib,2014-08-15 17:21:56,7,7,7,7,7,7,7
lvrzhn,AstroData,GollumEvent,https://github.com/uwescience/AstroData,2014-01-22 21:46:14,7,7,7,7,7,7,7
drphilmarshall,AstroData,GollumEvent,https://github.com/uwescience/AstroData,2014-01-22 21:46:14,7,7,7,7,7,7,7
drphilmarshall,AstroData,GollumEvent,https://github.com/drphilmarshall/AstroData,2014-09-19 14:06:43,7,7,7,7,7,7,7
jakevdp,BombScargle,PushEvent,https://github.com/jakevdp/BombScargle,2014-09-15 22:14:54,6,6,6,6,6,6,6
drphilmarshall,Ideas-for-Citizen-Science-in-Astronomy,IssuesEvent,https://github.com/drphilmarshall/Ideas-for-Citizen-Science-in-Astronomy,2013-03-29 20:45:41,6,6,6,6,6,6,6
drphilmarshall,Ideas-for-Citizen-Science-in-Astronomy,IssueCommentEvent,https://github.com/drphilmarshall/Ideas-for-Citizen-Science-in-Astronomy,2013-03-29 20:45:41,6,6,6,6,6,6,6
drphilmarshall,AstroData,IssuesEvent,https://github.com/uwescience/AstroData,2014-01-22 21:46:14,6,6,6,6,6,6,6
drphilmarshall,Ideas-for-Citizen-Science-in-Astronomy,PushEvent,https://github.com/drphilmarshall/Ideas-for-Citizen-Science-in-Astronomy,2013-03-29 20:45:41,6,6,6,6,6,6,6
fperez,ClassicalStatsPython,PushEvent,https://github.com/dhuppenkothen/ClassicalStatsPython,2014-09-18 21:50:12,5,5,5,5,5,5,5
jonathansick,sedbot,PushEvent,https://github.com/jonathansick/sedbot,2014-03-10 00:31:41,5,5,5,5,5,5,5
dhuppenkothen,UTools,PushEvent,https://github.com/dhuppenkothen/UTools,2014-09-15 17:38:18,4,4,4,4,4,4,4
jmankin,traumadata,PushEvent,https://github.com/jmankin/traumadata,2014-09-13 19:21:51,4,4,4,4,4,4,4
adrn,stream-team,PushEvent,https://github.com/stream-team/stream-team,2014-03-10 00:56:18,4,4,4,4,4,4,4
gully,HETDEXtoy,PushEvent,https://github.com/gully/HETDEXtoy,2014-09-15 22:41:49,4,4,4,4,4,4,4
jakevdp,astrohackweek.github.io,PushEvent,https://github.com/AstroHackWeek/astrohackweek.github.io,2014-09-19 20:45:11,3,3,3,3,3,3,3
jakevdp,SciAmBlogPost,PushEvent,https://github.com/jakevdp/SciAmBlogPost,2014-09-10 22:58:41,3,3,3,3,3,3,3
Waelthus,X-Ray-Time-Series,PushEvent,https://github.com/Waelthus/X-Ray-Time-Series,2014-09-15 21:40:51,3,3,3,3,3,3,3
jakevdp,AstroData,PushEvent,https://github.com/uwescience/AstroData,2014-01-22 21:46:14,3,3,3,3,3,3,3
kbarbary,nestle,IssueCommentEvent,https://github.com/kbarbary/nestle,2013-07-18 19:28:48,3,3,3,3,3,3,3
fperez,ipython,IssueCommentEvent,https://github.com/ipython/ipython,2010-05-10 04:46:06,3,3,3,3,3,3,3
dhuppenkothen,BayesPSD,PushEvent,https://github.com/dhuppenkothen/BayesPSD,2014-09-15 16:28:37,3,3,3,3,3,3,3
nell-byler,HackWeek2014,PushEvent,https://github.com/yoachim/HackWeek2014,2014-09-15 21:35:34,3,3,3,3,3,3,3
fperez,design,IssueCommentEvent,https://github.com/jupyter/design,2014-07-07 21:47:18,3,3,3,3,3,3,3
drphilmarshall,emcee,IssueCommentEvent,https://github.com/dfm/emcee,2011-11-07 16:17:08,3,3,3,3,3,3,3
