repo,repo_url,repo_created_at,actor,created_at,repo,repo_created_at,repo_url,timestamp,type
AstroData,https://github.com/uwescience/AstroData,2014-01-22 21:46:14,38,38,38,38,38,38,38
nestle,https://github.com/kbarbary/nestle,2013-07-18 19:28:48,20,20,20,20,20,20,20
Ideas-for-Citizen-Science-in-Astronomy,https://github.com/drphilmarshall/Ideas-for-Citizen-Science-in-Astronomy,2013-03-29 20:45:41,18,18,18,18,18,18,18
FlareTests_AstroHackWeek,https://github.com/jradavenport/FlareTests_AstroHackWeek,2014-09-16 21:24:53,15,15,15,15,15,15,15
HackWeek2014,https://github.com/yoachim/HackWeek2014,2014-09-15 21:35:34,11,11,11,11,11,11,11
ClassicalStatsPython,https://github.com/dhuppenkothen/ClassicalStatsPython,2014-09-18 21:50:12,10,10,10,10,10,10,10
day1,https://github.com/AstroHackWeek/day1,2014-08-14 06:02:33,10,10,10,10,10,10,10
emcee,https://github.com/dfm/emcee,2011-11-07 16:17:08,10,10,10,10,10,10,10
macro-cell,https://github.com/adrn/macro-cell,2014-09-18 21:44:34,10,10,10,10,10,10,10
cubehelix,https://github.com/jradavenport/cubehelix,2014-04-15 20:14:25,8,8,8,8,8,8,8
tilt-shift,https://github.com/adrn/tilt-shift,2014-09-15 21:55:05,8,8,8,8,8,8,8
SNClassification,https://github.com/sofiatti/SNClassification,2014-09-18 23:16:16,7,7,7,7,7,7,7
sims_maf_contrib,https://github.com/LSST-nonproject/sims_maf_contrib,2014-08-15 17:21:56,7,7,7,7,7,7,7
AstroData,https://github.com/drphilmarshall/AstroData,2014-09-19 14:06:43,7,7,7,7,7,7,7
sncosmo,https://github.com/sncosmo/sncosmo,2012-11-29 22:22:17,7,7,7,7,7,7,7
sedbot,https://github.com/jonathansick/sedbot,2014-03-10 00:31:41,6,6,6,6,6,6,6
BlackHoleGP,https://github.com/RuthAngus/BlackHoleGP,2014-09-16 00:51:28,6,6,6,6,6,6,6
astroML,https://github.com/astroML/astroML,2012-10-17 22:33:50,6,6,6,6,6,6,6
ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06,6,6,6,6,6,6,6
UTools,https://github.com/dhuppenkothen/UTools,2014-09-15 17:38:18,6,6,6,6,6,6,6
blind-dating,https://github.com/adrn/blind-dating,2014-09-15 21:55:05,6,6,6,6,6,6,6
BombScargle,https://github.com/jakevdp/BombScargle,2014-09-15 22:14:54,6,6,6,6,6,6,6
astrohackweek.github.io,https://github.com/AstroHackWeek/astrohackweek.github.io,2014-09-19 20:45:11,5,5,5,5,5,5,5
seaborn,https://github.com/mwaskom/seaborn,2012-06-18 18:41:19,5,5,5,5,5,5,5
Bananas,https://github.com/drphilmarshall/Bananas,2014-09-18 15:43:32,5,5,5,5,5,5,5
X-Ray-Time-Series,https://github.com/Waelthus/X-Ray-Time-Series,2014-09-15 21:40:51,5,5,5,5,5,5,5
SciAmBlogPost,https://github.com/jakevdp/SciAmBlogPost,2014-09-10 22:58:41,5,5,5,5,5,5,5
HETDEXtoy,https://github.com/gully/HETDEXtoy,2014-09-15 22:41:49,5,5,5,5,5,5,5
BayesPSD,https://github.com/dhuppenkothen/BayesPSD,2014-09-15 16:28:37,4,4,4,4,4,4,4
day4,https://github.com/AstroHackWeek/day4,2014-08-14 06:03:43,4,4,4,4,4,4,4
stream-team,https://github.com/stream-team/stream-team,2014-03-10 00:56:18,4,4,4,4,4,4,4
